# "year", "no", "page", "clipno", "area", "class"
2013,10,76,4,155208,0
2014,2,39,0,6237,0
2014,9,97,1,96489,0
2014,7,8,7,43524,0
2014,4,32,1,1356498,1
2013,8,50,1,1467726,1
2014,1,96,7,17400,0
2014,9,37,3,1247385,0
2014,6,91,7,4557,0
2014,2,72,0,23478,0
2014,5,27,1,16005,0
2014,4,15,3,115104,1
2014,5,88,14,19422,0
2014,4,96,4,37296,0
2014,8,42,0,1467726,1
2014,3,93,7,92928,0
2014,1,70,6,29928,0
2014,10,37,6,16389,0
2014,10,99,5,2385,0
2013,8,76,8,18576,0
2014,4,68,13,146223,1
2014,1,59,4,6909,0
2014,4,53,0,2478,0
2014,7,52,2,1413696,1
2014,7,95,11,5100,0
2014,7,96,0,5124,0
2014,5,3,0,14868,0
2014,2,50,6,140418,0
2014,9,3,2,7434,0
2014,6,95,0,2268,0
2013,10,38,1,3864,0
2014,7,69,9,1140,0
2014,1,15,0,1216809,1
2014,10,91,7,2250,0
2014,4,10,0,1064988,1
2014,1,96,4,166788,0
2014,10,75,1,2520,0
2013,9,6,3,3120,0
2013,8,94,7,47424,0
2014,7,22,4,17982,0
2014,4,67,0,2520,0
2014,3,65,2,39618,0
2014,4,43,6,9450,0
2014,10,97,7,6096,0
2014,5,94,1,15768,0
2014,8,71,2,176559,0
2013,8,90,8,38646,0
2013,8,32,0,1467726,1
2014,2,87,8,18009,0
2014,8,87,0,2520,0
2014,9,66,1,16389,0
2014,1,84,5,5049,0
2013,8,74,3,33966,0
2014,8,63,3,2610,0
2014,3,23,0,1467726,1
2014,3,76,0,4200,0
2013,9,55,0,1467726,1
2014,9,58,4,24768,0
2014,7,33,0,3345,0
2014,3,97,0,42750,0
2014,7,57,7,7392,0
2014,2,52,7,30576,0
2014,10,42,1,1252848,1
2014,8,72,1,169725,0
2014,3,25,1,458337,1
2014,1,31,2,507909,1
2013,8,51,3,46872,0
2014,9,94,15,11232,0
2014,6,40,3,67032,0
2014,8,83,7,556368,1
2014,1,24,5,5184,0
2014,3,4,2,13167,0
2014,5,59,1,230958,0
2014,7,69,3,4968,0
2014,8,66,0,12804,0
2014,10,71,3,23415,0
2014,8,83,0,174369,0
2014,1,76,1,26832,0
2014,4,71,1,247152,0
2014,8,88,10,44016,0
2014,5,64,3,362529,0
2013,9,77,1,2574,0
2014,6,96,4,6426,0
2014,7,67,0,8748,0
2014,7,63,5,203472,1
2014,4,36,0,1224300,1
2014,9,86,2,64395,0
2013,8,17,0,2520,0
2014,4,93,4,264096,1
2014,4,3,0,31476,0
2014,9,11,0,1467726,1
2014,6,31,3,311712,1
2014,2,84,3,907200,0
2014,8,88,1,13464,0
2013,9,67,0,1138125,1
2013,10,44,0,1467726,0
2014,1,72,0,23478,0
2014,10,31,1,1065024,0
2013,9,37,2,769878,1
2014,3,31,0,68640,0
2013,10,96,2,171216,0
2014,4,28,4,1467726,1
2014,7,27,9,346296,1
2014,1,88,2,59496,0
2014,1,4,7,18225,0
2014,7,26,3,308070,1
2014,8,71,3,240312,0
2014,10,92,4,56334,0
2014,1,63,9,5472,0
2014,6,70,4,303222,1
2013,8,13,6,100323,1
2014,2,60,2,1467726,1
2014,8,84,4,3948,0
2014,1,90,4,4050,0
2014,1,48,2,285936,1
2014,10,29,2,1299984,1
2014,7,10,4,43524,0
2014,3,82,0,149760,0
2013,9,76,4,24030,0
2013,8,86,9,368220,0
2014,2,98,6,136323,0
2014,9,27,6,344208,1
2014,3,93,8,4752,0
2014,3,91,11,4575,0
2013,10,69,3,303030,1
2014,3,97,7,5049,0
2014,10,18,2,43524,0
2014,10,16,4,6825,0
2014,6,91,2,14700,0
2014,5,25,0,6390,0
2014,7,57,2,54990,0
2014,8,82,3,381969,1
2014,9,51,0,2691,0
2013,9,43,0,5454,0
2014,7,88,8,6120,0
2013,10,55,12,7224,0
2013,8,12,5,51792,0
2014,9,91,2,14700,0
2013,8,57,4,14874,0
2014,5,53,11,58353,0
2013,9,66,0,3990,0
2013,9,33,1,1740,0
2013,8,82,3,746604,1
2013,9,86,3,64395,0
2014,3,97,2,58491,0
2014,5,96,6,37632,0
2013,8,62,0,1467726,1
2013,9,65,0,1467726,1
2014,5,1,1,1298040,1
2014,3,85,1,1006608,1
2014,7,18,0,24003,0
2014,6,91,3,9792,0
2014,1,59,1,8400,0
2014,5,53,8,12768,0
2014,1,98,0,75735,0
2014,4,71,2,498150,1
2014,4,28,2,7020,0
2014,6,49,0,231120,1
2014,10,51,3,176565,1
2014,6,84,4,888030,1
2014,1,70,7,18315,0
2013,10,4,9,12798,0
2014,5,2,0,17010,0
2014,3,94,10,50175,0
2014,1,11,0,373188,1
2014,5,96,5,52065,0
2013,10,32,0,26505,0
2014,5,98,5,136323,0
2014,2,96,3,182070,0
2013,9,86,2,62916,1
2014,5,79,0,292098,1
2014,5,51,8,101898,0
2014,4,87,5,244737,1
2014,2,67,1,1161309,1
2014,1,84,4,3948,0
2014,8,60,1,568932,1
2014,7,45,0,353274,0
2014,4,30,3,504543,0
2014,9,98,7,1014297,1
2013,10,95,3,109620,0
2014,6,68,0,14958,0
2013,8,42,2,1467726,1
2014,8,63,0,27246,0
2014,5,53,4,37164,0
2013,8,94,16,92136,0
2014,3,54,0,173475,0
2013,8,78,1,226380,1
2013,8,9,2,49086,0
2014,3,94,3,36864,0
2013,8,61,7,6222,0
2014,6,91,6,276948,0
2014,5,64,0,824913,1
2013,10,22,0,1467726,1
2013,9,45,1,39900,0
2014,1,50,1,494760,1
2014,5,5,1,6237,0
2014,1,96,1,32544,0
2014,6,92,6,541728,1
2014,2,87,5,86976,1
2014,9,98,3,8748,0
2014,1,63,10,7089,0
2014,7,100,1,12960,1
2014,3,19,8,18576,0
2013,10,8,0,188448,0
2014,3,91,6,276948,0
2014,4,32,0,38418,0
2014,9,61,1,1027044,1
2014,10,36,4,549666,1
2014,7,24,1,137004,0
2014,8,91,6,276948,0
2014,10,13,5,82500,0
2013,10,42,1,16605,0
2013,9,4,9,14181,0
2014,8,28,4,48984,0
2014,5,53,2,12420,0
2014,2,80,5,125487,0
2014,2,77,5,113274,0
2014,7,10,0,1078038,1
2013,10,41,0,788493,1
2014,5,82,1,38376,0
2014,1,56,1,1358916,1
2014,7,88,0,6426,0
2013,10,57,3,52716,0
2013,10,21,0,621846,1
2014,1,86,9,368220,0
2014,4,17,2,10089,0
2013,9,84,0,3990,0
2014,6,32,2,449568,1
2014,8,16,3,11739,0
2014,6,20,0,462354,1
2013,8,77,1,4464,0
2014,2,93,7,92928,0
2014,2,91,2,14550,0
2014,3,22,0,35970,0
2014,9,94,8,46206,0
2014,7,71,0,185703,0
2014,7,98,0,2310,0
2013,10,94,18,5049,0
2014,10,25,2,264216,1
2014,5,95,5,213282,1
2014,9,59,4,96327,1
2014,3,87,4,17595,0
2014,1,66,2,645606,1
2014,6,99,5,5049,0
2014,2,84,5,7176,0
2014,5,53,7,433593,1
2013,8,56,0,5880,0
2014,7,69,2,11025,0
2014,10,83,5,100608,0
2014,5,96,0,3696,0
2014,1,69,1,2520,0
2013,10,94,15,22644,0
2014,1,54,0,4080,0
2014,8,87,5,86976,1
2014,3,31,1,706548,1
2014,4,43,2,16200,0
2014,10,95,5,101460,1
2014,8,63,5,78936,0
2014,6,85,11,4752,0
2014,3,87,2,5508,0
2014,7,50,1,61548,0
2014,1,88,1,13464,0
2014,1,70,5,24864,0
2014,10,99,4,34236,0
2013,10,27,3,23373,0
2013,8,15,0,1467726,1
2014,9,4,0,4872,0
2014,5,68,1,14418,0
2013,9,91,3,1450800,1
2013,9,87,8,18009,0
2013,8,86,1,68295,0
2014,10,83,3,10575,0
2014,1,53,3,35328,0
2014,8,81,3,1467726,1
2014,4,92,2,115443,0
2014,4,88,1,13464,0
2014,10,54,0,378015,1
2014,6,72,0,1327509,1
2014,10,57,17,127920,0
2014,8,63,16,126690,0
2014,2,91,10,2520,0
2014,6,40,4,312984,0
2014,2,22,1,619008,1
2013,8,99,0,36618,0
2014,1,61,0,5880,0
2014,8,94,13,192423,1
2013,9,90,7,5700,0
2014,3,97,6,6096,0
2013,9,7,5,17721,0
2013,8,55,2,18000,0
2014,8,78,5,16236,0
2014,1,26,0,29880,0
2014,7,80,4,3402,0
2014,10,59,1,27984,0
2014,9,74,3,712011,0
2013,10,72,4,9450,0
2013,9,92,0,6132,0
2013,10,79,0,169155,0
2014,10,93,5,429942,1
2014,5,87,6,18009,0
2014,8,74,1,497598,1
2013,9,77,2,1467726,1
2014,4,3,1,12684,0
2014,9,92,1,110376,0
2014,8,94,3,48279,0
2014,5,83,3,1162560,1
2014,7,88,5,54108,0
2014,5,88,12,101745,0
2014,7,96,5,38133,0
2014,9,10,4,1467726,1
2014,2,76,5,60858,0
2014,4,12,1,43524,0
2014,1,25,1,1467726,1
2014,1,9,0,1467726,1
2014,7,30,2,175551,1
2013,8,4,13,339405,1
2013,8,13,9,753900,1
2014,9,18,3,61050,0
2013,9,8,0,41238,0
2014,2,86,7,34560,0
2014,10,12,1,45798,0
2014,9,100,0,1467726,0
2014,8,53,0,2478,0
2013,10,31,2,475524,1
2014,10,38,0,201885,0
2014,3,15,0,160890,0
2014,2,90,3,39672,0
2014,3,94,11,23256,0
2014,7,52,0,3978,0
2014,4,92,6,617760,0
2014,1,49,1,1163538,1
2014,4,50,2,779388,1
2014,8,7,4,6237,0
2014,2,50,4,37800,0
2014,9,73,10,6672,0
2014,7,79,0,21627,0
2014,9,91,8,925296,0
2013,8,86,0,4620,0
2014,6,96,6,38133,0
2014,4,82,1,38376,0
2014,6,8,7,34317,0
2013,8,43,0,6006,0
2014,6,13,3,655560,1
2014,7,10,1,20829,0
2014,9,17,1,73920,1
2014,10,98,1,24288,0
2014,8,45,0,5031,0
2014,5,91,7,4557,0
2014,1,79,1,619506,1
2014,8,69,3,23415,0
2013,8,76,7,18315,0
2013,8,98,5,145962,0
2013,8,8,2,26400,0
2014,7,7,0,34200,0
2014,1,63,13,569742,0
2014,5,73,3,99198,0
2014,10,91,8,925296,0
2014,3,38,4,25092,0
2014,7,20,2,20016,0
2014,3,71,1,52116,0
2014,1,68,0,455184,1
2013,10,11,0,1467726,0
2014,1,56,0,52260,0
2014,10,27,0,1320,0
2014,8,6,7,7467,0
2013,8,43,1,844788,1
2014,9,36,0,1138482,1
2014,7,94,7,22950,0
2013,10,86,7,34560,0
2013,8,97,2,40734,0
2014,3,90,2,6000,0
2014,7,88,3,7638,0
2014,2,99,2,29988,0
2014,1,93,3,5940,0
2014,1,5,4,6237,0
2014,9,4,11,19683,0
2013,9,25,4,538734,0
2013,10,98,0,75735,0
2013,9,86,9,368220,0
2014,7,94,20,5049,0
2013,9,6,0,44640,1
2014,5,90,5,16128,0
2014,2,92,2,89661,0
2013,9,40,2,645606,1
2014,10,81,4,1421784,1
2013,9,27,5,11250,0
2014,7,85,3,42780,0
2014,1,24,1,4992,0
2013,8,79,0,2520,0
2014,5,91,8,2250,0
2014,3,8,3,89310,0
2014,3,98,3,104208,0
2014,7,62,4,146028,0
2014,10,94,2,71121,0
2013,8,74,5,74592,0
2014,6,95,6,28782,0
2013,10,67,0,1294731,1
2014,3,17,1,1070748,1
2014,3,95,2,408576,1
2014,5,79,2,54684,0
2014,4,33,6,68493,0
2014,7,60,3,408003,0
2014,2,65,5,1176804,1
2014,5,95,6,53640,0
2014,1,22,3,662532,1
2013,10,16,3,10200,0
2014,9,80,9,22185,0
2014,10,48,1,387624,1
2013,8,46,0,8736,0
2013,10,88,10,36156,0
2014,8,34,0,5838,0
2014,6,92,3,20700,0
2014,2,34,0,1467726,1
2014,1,88,12,159132,0
2014,4,94,4,15552,0
2014,9,62,1,159840,0
2014,6,95,15,5100,0
2014,8,6,8,20184,0
2014,2,56,1,34086,0
2013,10,94,6,22950,0
2014,7,8,0,2394,0
2013,9,74,0,22509,0
2014,8,95,7,616590,1
2013,9,83,4,9660,0
2014,1,87,2,5508,0
2014,7,87,3,48276,0
2014,10,42,0,4290,0
2013,9,74,1,29946,0
2014,7,88,12,101745,0
2014,1,92,6,5049,0
2014,7,82,2,184473,0
2014,6,3,0,78912,0
2014,3,86,3,204930,1
2014,2,72,3,314766,1
2013,10,51,3,1263024,1
2014,5,89,0,14652,0
2014,8,48,0,215430,0
2014,9,27,11,9672,0
2014,1,8,1,27183,0
2014,9,34,1,24003,0
2014,10,41,2,328350,0
2014,5,81,4,8439,0
2014,9,94,3,47508,0
2014,6,8,3,166263,0
2013,8,96,0,393618,1
2014,3,4,4,40080,0
2014,4,98,0,70785,0
2014,6,86,0,4452,0
2014,5,37,1,357753,0
2013,8,61,1,66045,0
2014,7,91,2,14700,0
2013,9,94,5,39432,0
2013,9,46,0,4410,0
2013,10,99,1,22464,0
2014,9,54,1,705564,1
2013,9,75,1,132615,0
2014,8,30,3,7290,0
2014,7,56,0,37200,0
2013,10,36,2,402204,0
2014,1,38,0,13452,0
2014,3,84,4,888030,1
2014,7,57,0,27246,0
2014,8,83,6,24459,0
2014,9,91,1,62622,0
2014,8,96,2,187308,1
2014,8,99,0,2310,0
2014,5,92,3,84546,0
2014,9,85,3,42780,0
2013,9,13,1,102102,0
2014,6,96,1,8400,0
2014,9,62,0,98334,1
2014,2,88,3,7638,0
2014,10,64,0,302742,1
2014,5,30,1,135954,1
2013,10,9,1,45738,0
2014,9,70,0,3024,0
2014,3,51,0,15708,0
2014,9,89,1,1453218,1
2014,1,48,4,80901,0
2014,5,86,8,14007,0
2014,4,88,9,49914,0
2014,8,63,1,71874,0
2013,9,97,4,49476,0
2013,8,12,6,996216,1
2013,8,9,1,101097,0
2014,6,86,4,172617,0
2014,1,93,1,22176,0
2014,9,83,7,556368,1
2014,6,71,1,7482,0
2014,4,25,4,564243,1
2013,9,5,3,25029,0
2014,1,63,6,7392,0
2014,2,1,0,1467726,1
2014,5,56,1,1076334,1
2014,1,71,0,1467726,1
2014,10,23,2,33384,0
2014,4,81,2,4002,0
2014,6,28,0,555258,1
2014,8,7,5,17253,0
2014,4,3,5,24174,0
2014,7,6,1,129519,0
2013,10,69,4,632808,1
2014,9,58,5,288948,1
2013,9,98,1,22464,0
2014,1,80,2,66456,0
2013,10,66,4,30186,0
2014,7,1,2,48330,0
2013,8,61,13,75075,0
2014,1,59,8,124800,0
2014,5,11,5,10374,0
2014,7,4,10,18531,0
2014,7,15,4,1176348,1
2014,8,95,9,9360,0
2014,7,6,2,8268,0
2014,3,94,2,22950,0
2014,7,79,1,35574,0
2014,10,88,5,51516,0
2014,4,31,2,13689,0
2013,8,61,4,2832,0
2014,4,55,4,26712,0
2014,5,86,2,64395,0
2014,7,13,4,577257,1
2014,4,92,4,56334,0
2013,9,43,1,4161,0
2014,2,70,10,111384,0
2014,6,49,3,61632,0
2013,9,9,0,1467726,1
2014,2,11,2,147768,1
2014,10,63,0,219240,1
2014,10,24,2,58446,1
2014,4,94,18,92136,0
2014,8,9,3,8586,0
2013,8,94,18,5049,0
2014,8,63,12,8100,0
2013,10,98,5,136323,0
2013,10,78,2,65532,0
2014,8,80,1,675108,1
2014,2,70,5,24864,0
2013,10,33,0,7650,0
2014,1,3,1,7434,0
2014,4,20,4,1467726,1
2014,8,95,5,50553,0
2014,4,53,1,2142,0
2013,9,80,3,83331,0
2013,9,96,0,4410,0
2014,8,99,3,2385,0
2014,4,100,0,1467726,0
2014,7,8,3,48735,0
2014,9,95,9,68544,1
2014,7,87,2,5508,0
2014,2,11,6,45936,0
2013,8,61,12,7140,0
2014,9,99,2,19764,0
2013,8,29,1,43146,0
2014,10,64,1,25500,0
2013,9,64,1,31524,0
2014,8,98,0,16830,0
2013,8,94,10,23256,0
2014,5,68,3,176565,1
2014,8,78,0,46134,0
2014,10,3,0,78912,0
2014,2,70,9,21414,0
2013,10,42,3,9600,0
2013,9,25,0,2604,0
2014,5,91,13,17802,0
2014,8,3,0,12093,0
2014,2,10,4,24477,0
2013,8,13,7,3150,0
2014,7,4,14,19749,0
2014,7,40,1,1356498,1
2014,9,4,16,7011,0
2014,3,92,4,617760,1
2013,10,62,1,33840,1
2014,5,97,4,63648,0
2014,10,94,9,73470,0
2014,7,37,1,7203,0
2014,7,94,13,9639,0
2014,10,5,3,21252,0
2014,9,72,1,43065,0
2013,8,51,6,50091,0
2014,1,59,3,38940,0
2013,9,94,15,22644,0
2014,9,9,1,63000,0
2014,3,97,4,39456,0
2013,10,66,6,29928,0
2014,10,90,4,16128,0
2014,3,90,3,39672,0
2014,6,23,3,404100,1
2014,2,53,1,24156,0
2013,10,94,4,22644,0
2014,2,88,4,149058,0
2013,8,84,1,101331,0
2013,9,16,0,616176,1
2014,4,47,1,21600,0
2014,10,58,1,1356498,1
2014,6,57,2,1407633,1
2013,9,4,7,18144,0
2014,10,56,3,697248,0
2013,9,59,1,81507,0
2014,5,32,0,54015,0
2013,10,66,10,111384,0
2013,8,4,3,7467,0
2014,2,93,3,5940,0
2014,10,80,9,22185,0
2013,9,90,8,38646,0
2014,10,36,1,86193,1
2014,3,80,4,161007,0
2013,8,3,0,78336,0
2014,9,21,2,41814,0
2014,1,81,2,121203,0
2014,6,8,8,43524,0
2014,3,32,1,1467726,1
2014,6,74,1,790314,1
2014,9,10,0,3990,0
2014,8,93,7,4752,0
2014,6,92,4,56334,0
2014,5,83,0,135432,0
2014,7,57,14,467190,0
2014,3,49,5,42453,0
2014,2,19,2,1467726,1
2014,5,18,0,3696,0
2014,9,83,3,10575,0
2014,7,30,4,53619,1
2014,2,83,2,11664,0
2013,8,93,8,4752,0
2014,5,32,1,1356498,1
2013,10,46,4,44856,0
2014,2,91,1,64386,0
2013,8,26,1,1356498,1
2014,3,90,6,1397604,0
2014,5,82,8,5049,0
2014,5,91,2,14700,0
2014,8,63,13,6966,0
2014,6,16,1,6006,0
2013,10,27,0,23142,0
2014,6,11,1,75690,0
2014,3,31,2,430920,1
2013,10,4,14,41124,0
2014,1,88,14,18960,0
2014,7,55,3,211680,0
2014,6,89,2,1453218,1
2014,8,7,2,46926,0
2014,9,47,5,919605,1
2014,10,59,2,87696,0
2014,2,70,11,148512,0
2014,2,16,0,48945,0
2014,4,13,2,26622,0
2014,7,71,1,209760,1
2014,6,65,0,7854,0
2014,1,14,2,43524,0
2014,10,86,3,23400,0
2013,8,76,10,111384,0
2013,9,74,7,16983,0
2014,4,77,1,2142,0
2014,1,29,2,412221,1
2014,4,55,1,9570,0
2014,3,52,2,14934,0
2014,7,90,4,1395186,0
2014,4,88,4,244296,0
2014,3,57,1,6435,0
2014,8,73,2,71550,0
2013,9,5,5,1467726,1
2014,4,81,3,1467726,1
2014,7,38,0,879543,1
2014,2,46,1,322890,1
2014,7,72,0,212976,1
2013,8,74,7,42009,0
2014,2,10,3,16128,0
2014,2,70,1,4380,0
2014,4,89,0,14652,0
2014,7,41,2,110826,0
2014,9,81,1,4914,0
2014,4,86,8,14007,0
2014,3,70,3,306714,1
2014,6,91,5,12834,0
2014,8,71,0,2520,0
2013,10,80,1,673839,1
2013,8,59,3,95172,0
2014,5,68,2,634014,1
2014,5,90,2,39672,0
2013,8,97,8,6096,0
2013,9,80,5,125487,0
2013,10,65,0,984528,1
2014,5,11,3,210672,1
2014,4,3,6,32700,0
2014,2,91,9,10452,0
2014,5,29,0,34200,0
2014,4,2,0,20655,0
2014,5,24,2,11760,0
2014,8,12,0,4662,0
2014,5,34,0,4380,0
2014,6,94,4,15552,0
2014,7,69,1,9570,0
2014,4,43,3,26280,0
2013,9,97,9,6096,0
2014,10,16,3,1118754,1
2013,9,99,4,56682,0
2014,10,41,0,850815,1
2014,2,4,11,17487,0
2014,5,84,3,13350,0
2014,10,26,1,155952,1
2014,9,8,3,43524,0
2014,6,82,6,5049,0
2014,6,4,10,23664,0
2014,1,82,3,9438,0
2014,4,79,1,466293,1
2013,8,86,11,5049,0
2014,8,59,0,605313,1
2014,4,7,1,43575,0
2013,8,92,4,539136,1
2014,2,81,0,12285,0
2014,6,30,0,1467726,1
2014,1,35,1,50304,0
2013,9,50,0,1272879,1
2014,10,21,8,15276,0
2013,10,55,6,7392,0
2014,7,22,2,9570,0
2014,1,29,4,28500,0
2013,9,60,0,1378497,1
2014,4,81,1,122409,0
2013,8,97,3,51012,0
2013,8,96,2,416826,1
2014,5,94,20,5049,0
2014,3,86,1,68295,0
2014,10,75,3,604572,1
2014,3,57,7,221340,1
2014,6,87,7,826512,1
2014,3,88,15,18960,0
2013,9,27,3,165435,0
2014,3,74,0,1467726,1
2014,4,9,1,16236,0
2014,7,97,6,17442,0
2014,10,66,0,269787,0
2014,4,39,4,17343,0
2013,10,55,5,5856,0
2014,4,87,7,18009,0
2014,3,78,5,113274,0
2014,9,39,7,54768,0
2014,3,94,18,92136,0
2014,4,88,14,19422,0
2014,2,10,1,552798,1
2014,6,73,0,1362108,1
2013,9,97,1,549942,1
2014,3,19,12,220506,1
2013,8,70,0,1467726,1
2013,10,12,1,1094100,1
2014,7,92,3,84546,0
2014,5,54,1,15480,0
2014,7,80,7,7524,0
2014,3,94,5,22644,0
2013,8,98,3,56448,0
2014,3,55,0,2478,0
2013,10,54,5,143646,0
2013,10,2,0,1467726,0
2014,3,29,1,28917,0
2014,1,63,3,2880,0
2013,10,21,1,50988,0
2014,2,14,5,36654,0
2014,7,14,6,43524,0
2014,7,27,8,15345,0
2014,10,6,0,1351755,1
2014,10,96,6,38133,0
2013,10,97,1,44640,0
2013,8,95,2,4473,0
2014,3,11,0,3024,0
2014,4,35,0,1467726,1
2013,8,3,3,18960,0
2014,1,3,4,32700,0
2014,3,11,2,1467726,1
2014,3,53,0,129870,0
2014,6,34,0,258582,1
2014,9,5,5,123492,0
2014,4,9,7,65964,1
2014,7,62,0,2310,0
2014,7,65,4,24864,0
2013,9,96,5,890469,1
2014,6,37,1,608646,1
2014,4,96,2,375765,1
2014,7,69,7,151575,1
2014,8,28,1,19116,0
2014,9,88,2,58725,0
2014,3,32,0,16188,0
2014,1,70,4,30186,0
2013,10,55,1,76500,0
2014,6,8,0,2604,0
2013,8,13,10,6150,0
2014,10,87,6,86976,1
2013,10,33,1,15390,0
